category,Achilles,Alice,Ancient Leshen,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Xander,Bullseye,Ciri,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,0,78,0,2,18,33,149,41,54,26,61,5,9,54,1,3,101,1,25,41,48,72,31,0,0,23,43,10,99,53,19,1,7,60,159,81,81,6,64,20,0,31,98,35,80,19,83,3,0,2,136,107,54,14,16,76,0,2,23,0,235
Alice,78,0,0,0,58,67,32,44,24,14,59,3,4,30,0,18,22,9,2,13,64,31,2,0,0,24,19,19,17,35,13,16,29,59,55,39,77,22,8,4,0,25,53,27,16,8,58,3,1,2,22,87,31,3,10,18,0,4,2,0,24
Ancient Leshen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0
Angel,2,0,0,0,0,1,5,0,0,3,4,6,3,6,0,1,0,11,0,1,1,3,0,0,0,2,1,1,0,1,8,11,15,1,12,0,0,0,1,3,0,4,6,2,0,3,2,1,7,6,0,0,0,0,0,1,0,6,0,0,1
Annie Christmas,18,58,0,0,0,17,17,47,31,2,16,3,3,16,0,6,8,0,6,56,5,53,0,0,0,10,40,33,29,13,2,4,2,16,42,25,34,9,49,0,0,24,24,41,8,16,37,3,2,2,8,16,25,15,31,20,1,0,11,0,8
Beowulf,33,67,0,1,17,0,27,19,9,24,37,3,6,30,0,11,22,1,1,6,23,44,6,0,0,20,1,8,26,37,9,15,14,48,43,18,43,7,1,3,0,13,37,11,6,14,22,4,2,1,10,20,25,0,0,10,0,1,4,0,12
Bigfoot,149,32,0,5,17,27,0,25,21,38,23,1,4,11,0,3,44,1,25,113,10,91,11,0,0,20,246,3,108,68,20,9,17,118,89,177,77,5,81,2,0,36,61,3,82,39,66,7,1,2,89,78,33,3,5,24,0,3,20,1,200
Black Panther,41,44,0,0,47,19,25,0,80,1,36,7,2,19,0,13,42,0,33,78,3,52,3,1,0,23,17,27,121,27,5,2,1,36,58,36,17,16,43,2,0,21,19,18,35,25,23,12,0,2,46,40,25,0,4,10,0,0,63,0,39
Black Widow,54,24,0,0,31,9,21,80,0,3,2,0,0,34,0,6,55,0,41,25,10,14,3,0,0,7,12,7,53,25,2,2,0,47,34,49,32,7,38,14,0,51,32,9,33,26,20,13,0,0,31,24,63,5,25,97,0,0,117,0,60
Bloody Mary,26,14,0,3,2,24,38,1,3,0,39,2,5,13,1,2,15,31,1,7,7,33,3,0,0,24,36,1,9,17,37,68,31,33,23,7,26,10,4,15,0,19,12,0,6,5,18,25,6,23,34,3,22,0,3,12,0,12,3,0,48
