category,Achilles,Alice,Ancient Leshen,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Xander,Bullseye,Ciri,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,N/A,26,N/A,0,22,27,54,27,43,31,36,40,11,48,100,0,33,100,56,44,44,50,81,N/A,N/A,13,53,30,45,89,53,0,57,40,42,84,47,0,42,25,N/A,39,41,23,41,68,37,33,N/A,50,79,40,15,36,38,33,N/A,50,22,N/A,60
Alice,74,N/A,N/A,N/A,64,42,69,45,54,29,39,33,25,37,N/A,39,45,11,100,62,50,68,100,N/A,N/A,58,42,42,76,74,62,50,31,41,60,74,55,27,75,75,N/A,64,43,59,44,63,45,100,0,0,91,46,42,67,50,50,N/A,0,100,N/A,67
Ancient Leshen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,100,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,67,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,100,100,N/A,N/A,100,N/A,N/A,N/A,N/A,100,N/A
Angel,100,N/A,N/A,N/A,N/A,100,20,N/A,N/A,100,100,67,67,83,N/A,100,N/A,64,N/A,100,100,67,N/A,N/A,N/A,50,100,0,N/A,100,38,73,53,0,83,N/A,N/A,N/A,0,67,N/A,75,83,50,N/A,67,100,100,43,50,N/A,N/A,N/A,N/A,N/A,100,N/A,50,N/A,N/A,100
Annie Christmas,78,36,N/A,N/A,N/A,35,59,57,32,0,25,33,33,31,N/A,0,50,N/A,50,63,60,57,N/A,N/A,N/A,50,48,27,76,77,0,25,0,25,36,72,32,22,59,N/A,N/A,71,21,41,75,75,46,67,0,50,88,31,60,60,58,25,0,N/A,9,N/A,88
Beowulf,73,58,N/A,0,65,N/A,59,84,33,46,54,0,33,30,N/A,36,77,100,100,67,48,30,100,N/A,N/A,30,100,13,58,76,44,60,43,63,53,89,63,71,100,33,N/A,85,51,27,67,79,86,0,50,0,80,75,28,N/A,N/A,60,N/A,0,75,N/A,83
Bigfoot,46,31,N/A,80,41,41,N/A,36,14,39,22,100,25,18,N/A,100,7,0,56,63,0,53,91,N/A,N/A,50,55,33,34,59,30,0,18,53,26,67,57,20,32,0,N/A,28,31,33,46,77,26,43,0,0,83,40,12,33,20,33,N/A,0,15,0,62
Black Panther,73,55,N/A,N/A,43,16,64,N/A,54,100,42,14,50,5,N/A,62,43,N/A,73,54,33,35,67,100,N/A,30,88,33,35,67,40,0,100,28,64,78,65,63,65,100,N/A,81,16,61,77,80,61,50,N/A,50,59,45,56,N/A,25,70,N/A,N/A,60,N/A,44
Black Widow,57,46,N/A,N/A,68,67,86,46,N/A,67,50,N/A,N/A,44,N/A,17,31,N/A,49,60,50,57,67,N/A,N/A,100,83,43,72,52,0,50,N/A,70,79,57,69,14,76,43,N/A,49,44,33,76,69,55,31,N/A,N/A,52,83,48,80,56,71,N/A,N/A,48,N/A,50
Bloody Mary,69,71,N/A,0,100,54,61,0,33,N/A,72,0,40,54,100,0,47,35,100,86,100,82,67,N/A,N/A,46,58,100,89,71,41,37,29,39,78,71,77,30,50,60,N/A,79,33,N/A,67,100,72,16,50,65,82,100,41,N/A,33,33,N/A,0,100,N/A,40
Bruce Lee,64,61,N/A,0,75,46,78,58,50,28,N/A,25,54,49,N/A,50,46,20,50,53,71,64,71,N/A,N/A,35,67,11,51,75,28,64,18,57,78,69,65,35,29,0,N/A,38,47,47,50,90,50,52,33,39,30,32,36,40,100,0,N/A,0,29,N/A,50
Buffy Giles,60,67,N/A,33,67,100,0,86,N/A,100,75,N/A,0,45,N/A,N/A,67,N/A,100,100,57,75,75,N/A,N/A,60,N/A,100,N/A,50,50,38,25,86,67,100,100,N/A,N/A,N/A,N/A,60,59,0,N/A,100,100,75,0,50,33,50,N/A,N/A,100,100,N/A,50,N/A,N/A,50
Buffy Xander,89,75,N/A,33,67,67,75,50,N/A,60,46,100,N/A,47,N/A,22,50,N/A,N/A,N/A,100,100,100,N/A,N/A,N/A,100,0,N/A,67,33,63,0,67,100,100,N/A,0,100,0,N/A,56,38,0,N/A,67,69,50,50,0,100,100,0,N/A,N/A,N/A,N/A,N/A,0,N/A,67
Bullseye,52,63,N/A,17,69,70,82,95,56,46,51,55,53,N/A,N/A,61,49,25,32,100,68,58,67,N/A,N/A,50,50,60,82,18,14,63,41,85,92,56,71,67,78,0,N/A,57,48,63,50,63,85,50,N/A,0,75,88,68,50,0,88,N/A,0,55,N/A,32
Ciri,0,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,50,100,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,100,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A
Cloak & Dagger,100,61,N/A,0,100,64,0,38,83,100,50,N/A,78,39,N/A,N/A,0,0,0,N/A,60,64,100,N/A,N/A,69,100,38,N/A,N/A,71,30,100,70,N/A,100,100,35,65,N/A,N/A,55,38,58,N/A,50,45,33,100,36,100,33,60,100,100,0,N/A,N/A,50,N/A,56
Daredevil,67,55,N/A,N/A,50,23,93,57,69,53,54,33,50,51,N/A,100,N/A,0,62,9,32,66,51,N/A,N/A,39,75,N/A,63,73,0,63,0,55,64,47,66,60,85,40,N/A,83,62,38,60,100,63,33,N/A,0,35,51,73,30,58,79,N/A,100,48,N/A,38
Deadpool,0,89,N/A,36,N/A,0,100,N/A,N/A,65,80,N/A,N/A,75,N/A,100,100,N/A,N/A,0,100,N/A,0,N/A,N/A,0,N/A,N/A,N/A,100,33,22,24,N/A,N/A,N/A,78,100,N/A,100,N/A,100,50,N/A,100,0,100,33,67,50,N/A,100,100,100,N/A,N/A,N/A,50,N/A,N/A,0
Doctor Strange,44,0,N/A,N/A,50,0,44,27,51,0,50,0,N/A,68,N/A,100,38,N/A,N/A,36,0,22,100,N/A,N/A,67,39,0,40,50,0,N/A,N/A,17,35,44,52,0,71,0,N/A,0,0,50,42,100,0,15,N/A,N/A,26,76,25,0,64,46,N/A,N/A,40,N/A,59
Dr. Jill Trent,56,38,N/A,0,38,33,37,46,40,14,47,0,N/A,0,N/A,N/A,91,100,64,N/A,0,30,100,N/A,N/A,77,67,43,52,42,N/A,0,0,70,59,53,30,0,58,0,N/A,71,9,50,57,0,51,N/A,N/A,N/A,61,52,0,0,50,67,N/A,N/A,60,N/A,50
Dr. Sattler,56,50,N/A,0,40,52,100,67,50,0,29,43,0,32,100,40,68,0,100,100,N/A,89,100,N/A,N/A,36,100,0,55,63,50,50,0,19,48,100,43,18,100,0,N/A,60,41,N/A,100,75,53,40,0,0,71,31,24,50,33,69,N/A,N/A,60,N/A,33
